semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn
0.55,0.4,0.377,0.988,0.546,5716,9433,68
0.55,0.45,0.385,0.988,0.554,5716,9147,72
0.55,0.5,0.408,0.982,0.577,5716,8281,103
0.55,0.55,0.476,0.954,0.635,5716,6303,275
0.55,0.6,0.577,0.873,0.695,5305,3884,775
0.6,0.4,0.35,0.987,0.517,5305,9844,68
0.6,0.45,0.357,0.987,0.524,5305,9558,72
0.6,0.5,0.379,0.981,0.547,5305,8692,103
0.6,0.55,0.441,0.951,0.603,5305,6714,275
0.6,0.6,0.577,0.873,0.695,5305,3884,775
0.65,0.4,0.289,0.985,0.447,4374,10775,68
0.65,0.45,0.294,0.984,0.453,4374,10489,72
0.65,0.5,0.312,0.977,0.474,4374,9623,103
0.65,0.55,0.364,0.941,0.525,4374,7645,275
0.65,0.6,0.476,0.849,0.61,4374,4815,775
0.7,0.4,0.191,0.977,0.32,2898,12251,68
0.7,0.45,0.195,0.976,0.325,2898,11965,72
0.7,0.5,0.207,0.966,0.341,2898,11099,103
0.7,0.55,0.241,0.913,0.382,2898,9121,275
0.7,0.6,0.315,0.789,0.451,2898,6291,775
0.75,0.4,0.065,0.936,0.122,987,14162,68
0.75,0.45,0.066,0.932,0.124,987,13876,72
0.75,0.5,0.071,0.906,0.131,987,13010,103
0.75,0.55,0.082,0.782,0.149,987,11032,275
0.75,0.6,0.107,0.56,0.18,987,8202,775
0.8,0.4,0.017,0.789,0.033,255,14894,68
0.8,0.45,0.017,0.78,0.034,255,14608,72
0.8,0.5,0.018,0.712,0.036,255,13742,103
0.8,0.55,0.021,0.481,0.041,255,11764,275
0.8,0.6,0.028,0.248,0.05,255,8934,775
