semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn
0.55,0.4,0.391,0.989,0.56,5926,9247,68
0.55,0.45,0.394,0.989,0.563,5926,9124,68
0.55,0.5,0.403,0.989,0.572,5926,8786,68
0.55,0.55,0.437,0.988,0.606,5926,7637,70
0.55,0.6,0.512,0.982,0.673,5891,5616,107
0.6,0.4,0.388,0.989,0.558,5891,9282,68
0.6,0.45,0.391,0.989,0.561,5891,9159,68
0.6,0.5,0.4,0.989,0.57,5891,8821,68
0.6,0.55,0.434,0.988,0.603,5891,7672,70
0.6,0.6,0.512,0.982,0.673,5891,5616,107
0.65,0.4,0.368,0.988,0.536,5582,9591,68
0.65,0.45,0.371,0.988,0.539,5582,9468,68
0.65,0.5,0.379,0.988,0.548,5582,9130,68
0.65,0.55,0.412,0.988,0.581,5582,7981,70
0.65,0.6,0.485,0.981,0.649,5582,5925,107
0.7,0.4,0.306,0.986,0.467,4640,10533,68
0.7,0.45,0.308,0.986,0.47,4640,10410,68
0.7,0.5,0.315,0.986,0.478,4640,10072,68
0.7,0.55,0.342,0.985,0.508,4640,8923,70
0.7,0.6,0.403,0.977,0.571,4640,6867,107
0.75,0.4,0.197,0.978,0.327,2984,12189,68
0.75,0.45,0.198,0.978,0.33,2984,12066,68
0.75,0.5,0.203,0.978,0.336,2984,11728,68
0.75,0.55,0.22,0.977,0.359,2984,10579,70
0.75,0.6,0.259,0.965,0.409,2984,8523,107
0.8,0.4,0.08,0.947,0.148,1219,13954,68
0.8,0.45,0.081,0.947,0.149,1219,13831,68
0.8,0.5,0.083,0.947,0.152,1219,13493,68
0.8,0.55,0.09,0.946,0.164,1219,12344,70
0.8,0.6,0.106,0.919,0.19,1219,10288,107
