semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn
0.55,0.4,0.283,0.922,0.433,8015,20292,674
0.55,0.45,0.292,0.922,0.443,8015,19450,674
0.55,0.5,0.316,0.922,0.47,8015,17375,674
0.55,0.55,0.382,0.922,0.54,8015,12954,674
0.55,0.6,0.478,0.916,0.629,7698,8391,709
0.6,0.4,0.272,0.916,0.419,7698,20609,709
0.6,0.45,0.28,0.916,0.429,7698,19767,709
0.6,0.5,0.303,0.916,0.456,7698,17692,709
0.6,0.55,0.367,0.916,0.524,7698,13271,709
0.6,0.6,0.478,0.916,0.629,7698,8391,709
0.65,0.4,0.238,0.869,0.374,6748,21559,1018
0.65,0.45,0.246,0.869,0.383,6748,20717,1018
0.65,0.5,0.266,0.869,0.407,6748,18642,1018
0.65,0.55,0.322,0.869,0.47,6748,14221,1018
0.65,0.6,0.419,0.869,0.566,6748,9341,1018
0.7,0.4,0.18,0.723,0.289,5104,23203,1960
0.7,0.45,0.186,0.723,0.296,5104,22361,1960
0.7,0.5,0.201,0.723,0.315,5104,20286,1960
0.7,0.55,0.243,0.723,0.364,5104,15865,1960
0.7,0.6,0.317,0.723,0.441,5104,10985,1960
0.75,0.4,0.108,0.459,0.176,3071,25236,3616
0.75,0.45,0.112,0.459,0.18,3071,24394,3616
0.75,0.5,0.121,0.459,0.191,3071,22319,3616
0.75,0.55,0.146,0.459,0.222,3071,17898,3616
0.75,0.6,0.191,0.459,0.27,3071,13018,3616
0.8,0.4,0.043,0.186,0.07,1229,27078,5381
0.8,0.45,0.045,0.186,0.072,1229,26236,5381
0.8,0.5,0.048,0.186,0.077,1229,24161,5381
0.8,0.55,0.059,0.186,0.089,1229,19740,5381
0.8,0.6,0.076,0.186,0.108,1229,14860,5381
