semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn,fold
0.55,0.4,0.385,0.99,0.555,4627,7387,47,1
0.55,0.45,0.388,0.99,0.558,4627,7290,47,1
0.55,0.5,0.397,0.99,0.567,4627,7015,47,1
0.55,0.55,0.431,0.99,0.601,4627,6102,49,1
0.55,0.6,0.506,0.983,0.668,4600,4488,78,1
0.6,0.4,0.383,0.99,0.552,4600,7414,47,1
0.6,0.45,0.386,0.99,0.555,4600,7317,47,1
0.6,0.5,0.395,0.99,0.565,4600,7042,47,1
0.6,0.55,0.429,0.989,0.598,4600,6129,49,1
0.6,0.6,0.506,0.983,0.668,4600,4488,78,1
0.65,0.4,0.362,0.989,0.53,4344,7670,47,1
0.65,0.45,0.365,0.989,0.533,4344,7573,47,1
0.65,0.5,0.373,0.989,0.542,4344,7298,47,1
0.65,0.55,0.405,0.989,0.575,4344,6385,49,1
0.65,0.6,0.478,0.982,0.643,4344,4744,78,1
0.7,0.4,0.3,0.987,0.461,3610,8404,47,1
0.7,0.45,0.303,0.987,0.464,3610,8307,47,1
0.7,0.5,0.31,0.987,0.472,3610,8032,47,1
0.7,0.55,0.336,0.987,0.502,3610,7119,49,1
0.7,0.6,0.397,0.979,0.565,3610,5478,78,1
0.75,0.4,0.194,0.98,0.325,2336,9678,47,1
0.75,0.45,0.196,0.98,0.327,2336,9581,47,1
0.75,0.5,0.201,0.98,0.333,2336,9306,47,1
0.75,0.55,0.218,0.979,0.356,2336,8393,49,1
0.75,0.6,0.257,0.968,0.406,2336,6752,78,1
0.8,0.4,0.081,0.954,0.149,968,11046,47,1
0.8,0.45,0.081,0.954,0.15,968,10949,47,1
0.8,0.5,0.083,0.954,0.153,968,10674,47,1
0.8,0.55,0.09,0.952,0.165,968,9761,49,1
0.8,0.6,0.107,0.925,0.191,968,8120,78,1
0.55,0.4,0.392,0.988,0.561,4673,7250,56,2
0.55,0.45,0.395,0.988,0.564,4673,7157,56,2
0.55,0.5,0.404,0.988,0.574,4673,6884,56,2
0.55,0.55,0.436,0.988,0.605,4673,6033,58,2
0.55,0.6,0.51,0.981,0.671,4640,4466,89,2
0.6,0.4,0.389,0.988,0.558,4640,7283,56,2
0.6,0.45,0.392,0.988,0.562,4640,7190,56,2
0.6,0.5,0.401,0.988,0.571,4640,6917,56,2
0.6,0.55,0.433,0.988,0.602,4640,6066,58,2
0.6,0.6,0.51,0.981,0.671,4640,4466,89,2
0.65,0.4,0.367,0.987,0.535,4375,7548,56,2
0.65,0.45,0.37,0.987,0.538,4375,7455,56,2
0.65,0.5,0.379,0.987,0.547,4375,7182,56,2
0.65,0.55,0.409,0.987,0.578,4375,6331,58,2
0.65,0.6,0.48,0.98,0.645,4375,4731,89,2
0.7,0.4,0.302,0.985,0.462,3599,8324,56,2
0.7,0.45,0.304,0.985,0.465,3599,8231,56,2
0.7,0.5,0.311,0.985,0.473,3599,7958,56,2
0.7,0.55,0.336,0.984,0.501,3599,7107,58,2
0.7,0.6,0.395,0.976,0.563,3599,5507,89,2
0.75,0.4,0.191,0.976,0.319,2276,9647,56,2
0.75,0.45,0.192,0.976,0.321,2276,9554,56,2
0.75,0.5,0.197,0.976,0.328,2276,9281,56,2
0.75,0.55,0.213,0.975,0.349,2276,8430,58,2
0.75,0.6,0.25,0.962,0.397,2276,6830,89,2
0.8,0.4,0.078,0.943,0.144,930,10993,56,2
0.8,0.45,0.079,0.943,0.145,930,10900,56,2
0.8,0.5,0.08,0.943,0.148,930,10627,56,2
0.8,0.55,0.087,0.941,0.159,930,9776,58,2
0.8,0.6,0.102,0.913,0.184,930,8176,89,2
0.55,0.4,0.387,0.989,0.556,4733,7492,55,3
0.55,0.45,0.391,0.989,0.56,4733,7385,55,3
0.55,0.5,0.4,0.989,0.569,4733,7107,55,3
0.55,0.55,0.435,0.988,0.604,4733,6152,57,3
0.55,0.6,0.508,0.982,0.67,4703,4547,88,3
0.6,0.4,0.385,0.988,0.554,4703,7522,55,3
0.6,0.45,0.388,0.988,0.557,4703,7415,55,3
0.6,0.5,0.397,0.988,0.567,4703,7137,55,3
0.6,0.55,0.432,0.988,0.601,4703,6182,57,3
0.6,0.6,0.508,0.982,0.67,4703,4547,88,3
0.65,0.4,0.366,0.988,0.534,4470,7755,55,3
0.65,0.45,0.369,0.988,0.537,4470,7648,55,3
0.65,0.5,0.378,0.988,0.546,4470,7370,55,3
0.65,0.55,0.411,0.987,0.58,4470,6415,57,3
0.65,0.6,0.483,0.981,0.647,4470,4780,88,3
0.7,0.4,0.303,0.985,0.464,3709,8516,55,3
0.7,0.45,0.306,0.985,0.467,3709,8409,55,3
0.7,0.5,0.313,0.985,0.475,3709,8131,55,3
0.7,0.55,0.341,0.985,0.506,3709,7176,57,3
0.7,0.6,0.401,0.977,0.569,3709,5541,88,3
0.75,0.4,0.195,0.977,0.324,2378,9847,55,3
0.75,0.45,0.196,0.977,0.327,2378,9740,55,3
0.75,0.5,0.201,0.977,0.333,2378,9462,55,3
0.75,0.55,0.218,0.977,0.357,2378,8507,57,3
0.75,0.6,0.257,0.964,0.406,2378,6872,88,3
0.8,0.4,0.081,0.947,0.149,986,11239,55,3
0.8,0.45,0.081,0.947,0.15,986,11132,55,3
0.8,0.5,0.083,0.947,0.153,986,10854,55,3
0.8,0.55,0.091,0.945,0.165,986,9899,57,3
0.8,0.6,0.107,0.918,0.191,986,8264,88,3
0.55,0.4,0.397,0.989,0.567,4856,7370,55,4
0.55,0.45,0.4,0.989,0.57,4856,7269,55,4
0.55,0.5,0.41,0.989,0.58,4856,6987,55,4
0.55,0.55,0.446,0.989,0.615,4856,6034,55,4
0.55,0.6,0.523,0.984,0.683,4837,4417,78,4
0.6,0.4,0.396,0.989,0.565,4837,7389,55,4
0.6,0.45,0.399,0.989,0.568,4837,7288,55,4
0.6,0.5,0.408,0.989,0.578,4837,7006,55,4
0.6,0.55,0.444,0.989,0.613,4837,6053,55,4
0.6,0.6,0.523,0.984,0.683,4837,4417,78,4
0.65,0.4,0.378,0.988,0.547,4619,7607,55,4
0.65,0.45,0.381,0.988,0.55,4619,7506,55,4
0.65,0.5,0.39,0.988,0.559,4619,7224,55,4
0.65,0.55,0.424,0.988,0.594,4619,6271,55,4
0.65,0.6,0.499,0.983,0.662,4619,4635,78,4
0.7,0.4,0.314,0.986,0.477,3843,8383,55,4
0.7,0.45,0.317,0.986,0.48,3843,8282,55,4
0.7,0.5,0.324,0.986,0.488,3843,8000,55,4
0.7,0.55,0.353,0.986,0.52,3843,7047,55,4
0.7,0.6,0.415,0.98,0.583,3843,5411,78,4
0.75,0.4,0.203,0.978,0.337,2486,9740,55,4
0.75,0.45,0.205,0.978,0.339,2486,9639,55,4
0.75,0.5,0.21,0.978,0.346,2486,9357,55,4
0.75,0.55,0.228,0.978,0.37,2486,8404,55,4
0.75,0.6,0.269,0.97,0.421,2486,6768,78,4
0.8,0.4,0.081,0.948,0.15,995,11231,55,4
0.8,0.45,0.082,0.948,0.151,995,11130,55,4
0.8,0.5,0.084,0.948,0.154,995,10848,55,4
0.8,0.55,0.091,0.948,0.167,995,9895,55,4
0.8,0.6,0.108,0.927,0.193,995,8259,78,4
0.55,0.4,0.391,0.988,0.561,4815,7489,59,5
0.55,0.45,0.394,0.988,0.564,4815,7395,59,5
0.55,0.5,0.402,0.988,0.572,4815,7151,59,5
0.55,0.55,0.436,0.987,0.605,4815,6227,61,5
0.55,0.6,0.513,0.981,0.673,4784,4546,95,5
0.6,0.4,0.389,0.988,0.558,4784,7520,59,5
0.6,0.45,0.392,0.988,0.561,4784,7426,59,5
0.6,0.5,0.4,0.988,0.569,4784,7182,59,5
0.6,0.55,0.433,0.987,0.602,4784,6258,61,5
0.6,0.6,0.513,0.981,0.673,4784,4546,95,5
0.65,0.4,0.367,0.987,0.535,4520,7784,59,5
0.65,0.45,0.37,0.987,0.538,4520,7690,59,5
0.65,0.5,0.378,0.987,0.546,4520,7446,59,5
0.65,0.55,0.409,0.987,0.579,4520,6522,61,5
0.65,0.6,0.484,0.979,0.648,4520,4810,95,5
0.7,0.4,0.309,0.985,0.47,3799,8505,59,5
0.7,0.45,0.311,0.985,0.473,3799,8411,59,5
0.7,0.5,0.317,0.985,0.48,3799,8167,59,5
0.7,0.55,0.344,0.984,0.51,3799,7243,61,5
0.7,0.6,0.407,0.976,0.575,3799,5531,95,5
0.75,0.4,0.2,0.977,0.332,2460,9844,59,5
0.75,0.45,0.201,0.977,0.334,2460,9750,59,5
0.75,0.5,0.206,0.977,0.34,2460,9506,59,5
0.75,0.55,0.223,0.976,0.363,2460,8582,61,5
0.75,0.6,0.264,0.963,0.414,2460,6870,95,5
0.8,0.4,0.081,0.944,0.149,997,11307,59,5
0.8,0.45,0.082,0.944,0.15,997,11213,59,5
0.8,0.5,0.083,0.944,0.153,997,10969,59,5
0.8,0.55,0.09,0.942,0.165,997,10045,61,5
0.8,0.6,0.107,0.913,0.191,997,8333,95,5
