semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn,fold
0.55,0.4,0.373,0.99,0.541,4468,7526,47,1
0.55,0.45,0.379,0.989,0.548,4468,7311,51,1
0.55,0.5,0.404,0.983,0.573,4468,6592,75,1
0.55,0.55,0.472,0.955,0.632,4468,4993,212,1
0.55,0.6,0.572,0.874,0.691,4148,3102,600,1
0.6,0.4,0.346,0.989,0.512,4148,7846,47,1
0.6,0.45,0.352,0.988,0.519,4148,7631,51,1
0.6,0.5,0.375,0.982,0.543,4148,6912,75,1
0.6,0.55,0.438,0.951,0.6,4148,5313,212,1
0.6,0.6,0.572,0.874,0.691,4148,3102,600,1
0.65,0.4,0.285,0.986,0.443,3422,8572,47,1
0.65,0.45,0.291,0.985,0.449,3422,8357,51,1
0.65,0.5,0.309,0.979,0.47,3422,7638,75,1
0.65,0.55,0.362,0.942,0.523,3422,6039,212,1
0.65,0.6,0.472,0.851,0.607,3422,3828,600,1
0.7,0.4,0.188,0.98,0.315,2253,9741,47,1
0.7,0.45,0.191,0.978,0.32,2253,9526,51,1
0.7,0.5,0.204,0.968,0.337,2253,8807,75,1
0.7,0.55,0.238,0.914,0.378,2253,7208,212,1
0.7,0.6,0.311,0.79,0.446,2253,4997,600,1
0.75,0.4,0.063,0.941,0.118,755,11239,47,1
0.75,0.45,0.064,0.937,0.12,755,11024,51,1
0.75,0.5,0.068,0.91,0.127,755,10305,75,1
0.75,0.55,0.08,0.781,0.145,755,8706,212,1
0.75,0.6,0.104,0.557,0.175,755,6495,600,1
0.8,0.4,0.017,0.81,0.033,201,11793,47,1
0.8,0.45,0.017,0.798,0.033,201,11578,51,1
0.8,0.5,0.018,0.728,0.035,201,10859,75,1
0.8,0.55,0.021,0.487,0.041,201,9260,212,1
0.8,0.6,0.028,0.251,0.05,201,7049,600,1
0.55,0.4,0.378,0.988,0.547,4497,7405,56,2
0.55,0.45,0.385,0.987,0.554,4497,7182,59,2
0.55,0.5,0.407,0.982,0.576,4497,6549,84,2
0.55,0.55,0.474,0.951,0.632,4497,4998,230,2
0.55,0.6,0.575,0.867,0.691,4167,3078,641,2
0.6,0.4,0.35,0.987,0.517,4167,7735,56,2
0.6,0.45,0.357,0.986,0.524,4167,7512,59,2
0.6,0.5,0.377,0.98,0.545,4167,6879,84,2
0.6,0.55,0.439,0.948,0.6,4167,5328,230,2
0.6,0.6,0.575,0.867,0.691,4167,3078,641,2
0.65,0.4,0.288,0.984,0.445,3427,8475,56,2
0.65,0.45,0.293,0.983,0.452,3427,8252,59,2
0.65,0.5,0.31,0.976,0.471,3427,7619,84,2
0.65,0.55,0.361,0.937,0.521,3427,6068,230,2
0.65,0.6,0.473,0.842,0.606,3427,3818,641,2
0.7,0.4,0.191,0.976,0.32,2274,9628,56,2
0.7,0.45,0.195,0.975,0.325,2274,9405,59,2
0.7,0.5,0.206,0.964,0.339,2274,8772,84,2
0.7,0.55,0.239,0.908,0.379,2274,7221,230,2
0.7,0.6,0.314,0.78,0.448,2274,4971,641,2
0.75,0.4,0.062,0.93,0.116,739,11163,56,2
0.75,0.45,0.063,0.926,0.118,739,10940,59,2
0.75,0.5,0.067,0.898,0.125,739,10307,84,2
0.75,0.55,0.078,0.763,0.141,739,8756,230,2
0.75,0.6,0.102,0.536,0.171,739,6506,641,2
0.8,0.4,0.014,0.753,0.028,171,11731,56,2
0.8,0.45,0.015,0.743,0.029,171,11508,59,2
0.8,0.5,0.015,0.671,0.03,171,10875,84,2
0.8,0.55,0.018,0.426,0.035,171,9324,230,2
0.8,0.6,0.024,0.211,0.042,171,7074,641,2
0.55,0.4,0.376,0.988,0.544,4584,7622,55,3
0.55,0.45,0.383,0.987,0.552,4584,7387,59,3
0.55,0.5,0.407,0.982,0.576,4584,6668,83,3
0.55,0.55,0.474,0.955,0.634,4584,5085,217,3
0.55,0.6,0.573,0.873,0.692,4257,3167,617,3
0.6,0.4,0.349,0.987,0.515,4257,7949,55,3
0.6,0.45,0.356,0.986,0.523,4257,7714,59,3
0.6,0.5,0.378,0.981,0.546,4257,6995,83,3
0.6,0.55,0.44,0.951,0.602,4257,5412,217,3
0.6,0.6,0.573,0.873,0.692,4257,3167,617,3
